time,seconds_elapsed,z,y,x
1766408799017770200,0.230770263671875,-34.38750076293945,10.5,0.24375000596046448
1766408799037787600,0.25078759765625,-34.38750076293945,10.5,0.24375000596046448
1766408799057834500,0.27083447265625,-34.38750076293945,10.5,0.24375000596046448
1766408799077926000,0.29092578125,-25.743751525878906,9.543750762939453,-4.181250095367432
1766408799097944000,0.310944091796875,-25.743751525878906,9.543750762939453,-4.181250095367432
1766408799118089000,0.3310888671875,-23.700000762939453,2.6437501907348633,-5.15625
1766408799138217200,0.35121728515625,-21.787500381469727,-4.5,-6.243750095367432
1766408799158331400,0.371331298828125,-19.5,-11.21250057220459,-7.743750095367432
1766408799178396700,0.391396728515625,-17.26875114440918,-18,-9.168750762939453
1766408799198252800,0.411252685546875,-15.112500190734863,-24.30000114440918,-11.043750762939453
1766408799218314000,0.43131396484375,-12.90000057220459,-31.14375114440918,-12.356250762939453
1766408799238352600,0.4513525390625,-11.34375,-38.45625305175781,-13.200000762939453
1766408799258384100,0.471384033203125,-18.28125,-44.45625305175781,-9.356250762939453
1766408799278398500,0.4913984375,-18.712501525878906,-44.70000076293945,-8.456250190734863
1766408799298222600,0.51122265625,-19.012500762939453,-45,-8.15625
1766408799318267600,0.531267578125,-19.181251525878906,-44.8125,-7.800000190734863
1766408799338300700,0.55130078125,-19.5,-44.70000076293945,-7.368750095367432
1766408799358321400,0.5713212890625,-19.6875,-44.8125,-7.143750190734863
1766408799378344400,0.591344482421875,-19.6875,-44.75625228881836,-7.143750190734863
1766408799398177000,0.611177001953125,-19.912500381469727,-44.8125,-6.787500381469727
1766408799418233600,0.631233642578125,-20.025001525878906,-44.8125,-6.356250286102295
1766408799438276000,0.651276123046875,-20.025001525878906,-44.64375305175781,-6.656250476837158
1766408799458306000,0.67130615234375,-19.98750114440918,-44.51250076293945,-6.543750286102295
1766408799478335200,0.691335205078125,-20.100000381469727,-44.70000076293945,-6.356250286102295
1766408799498174500,0.711174560546875,-20.100000381469727,-44.8125,-6.543750286102295
1766408799518223000,0.73122314453125,-20.212501525878906,-44.8125,-6.487500190734863
1766408799538272300,0.751272216796875,-20.64375114440918,-44.70000076293945,-6.187500476837158
1766408799558305800,0.771305908203125,-20.700000762939453,-44.15625,-5.868750095367432
1766408799578327800,0.791327880859375,-21,-43.80000305175781,-5.700000286102295
1766408799598159600,0.81115966796875,-21.543750762939453,-43.743751525878906,-5.643750190734863
1766408799618215700,0.831215576171875,-21.84375,-43.14375305175781,-5.643750190734863
1766408799638257700,0.851257568359375,-22.087501525878906,-42.84375,-5.700000286102295
1766408799658298600,0.871298583984375,-22.5,-42.41250228881836,-5.868750095367432
1766408799678325000,0.891324951171875,-23.100000381469727,-41.75625228881836,-5.943750381469727
1766408799698162000,0.911161865234375,-23.043750762939453,-41.45625305175781,-6.487500190734863
1766408799718219800,0.9312197265625,-23.212501525878906,-41.34375,-6.956250190734863
1766408799738264300,0.951264404296875,-23.287500381469727,-41.04375076293945,-7.443750381469727
1766408799758306000,0.97130615234375,-23.212501525878906,-40.61250305175781,-8.081250190734863
1766408799778334000,0.991333984375,-23.400001525878906,-40.72500228881836,-9
1766408799798170000,1.011170166015625,-23.287500381469727,-40.42500305175781,-9.84375
1766408799818229200,1.031229248046875,-23.400001525878906,-40.01250076293945,-10.668750762939453
1766408799838272300,1.051272216796875,-23.100000381469727,-39.84375,-11.756250381469727
1766408799858303200,1.07130322265625,-23.212501525878906,-39.41250228881836,-12.656250953674316
1766408799878332700,1.091332763671875,-23.212501525878906,-39.056251525878906,-13.781250953674316
1766408799898171400,1.11117138671875,-23.100000381469727,-38.92500305175781,-15.05625057220459
1766408799918219800,1.1312197265625,-23.212501525878906,-38.45625305175781,-15.825000762939453
1766408799938268000,1.151267822265625,-23.287500381469727,-37.80000305175781,-16.368751525878906
1766408799958301700,1.1713017578125,-23.64375114440918,-37.14375305175781,-16.856250762939453
1766408799978334700,1.191334716796875,-23.700000762939453,-36.712501525878906,-17.15625
1766408799998175500,1.211175537109375,-23.887500762939453,-36.41250228881836,-17.26875114440918
1766408800018226000,1.231225830078125,-24.243751525878906,-35.8125,-17.025001525878906
1766408800038274600,1.251274658203125,-24.48750114440918,-35.51250076293945,-16.98750114440918
1766408800058308600,1.27130859375,-24.543750762939453,-35.212501525878906,-16.78125
1766408800078329900,1.291329833984375,-24.787500381469727,-35.04375076293945,-16.556251525878906
1766408800098162700,1.31116259765625,-24.600000381469727,-34.91250228881836,-16.5
1766408800118218000,1.331218017578125,-24.787500381469727,-34.91250228881836,-16.556251525878906
1766408800138260200,1.35126025390625,-24.712501525878906,-34.80000305175781,-16.6875
1766408800158300400,1.371300537109375,-24.712501525878906,-34.61250305175781,-16.5
1766408800218225400,1.431225341796875,-24.843751907348633,-34.556251525878906,-17.26875114440918
1766408800238268700,1.4512685546875,-24.900001525878906,-34.25625228881836,-17.756250381469727
1766408800258310000,1.471309814453125,-25.087501525878906,-34.14375305175781,-18
1766408800318230000,1.53122998046875,-24.48750114440918,-33.712501525878906,-19.256250381469727
1766408800358303700,1.5713037109375,-24.11250114440918,-33.35625076293945,-20.64375114440918
1766408800378333200,1.591333251953125,-23.512500762939453,-33.22500228881836,-21.056251525878906
1766408800398172000,1.611171875,-23.100000381469727,-33.41250228881836,-21.65625
1766408800418220800,1.631220703125,-22.6875,-33.22500228881836,-22.200000762939453
1766408800438268200,1.65126806640625,-22.42500114440918,-33,-22.856250762939453
1766408800458336500,1.67133642578125,-22.387500762939453,-32.64375305175781,-23.34375
1766408800478360600,1.691360595703125,-22.200000762939453,-32.45625305175781,-24
1766408800498474500,1.711474609375,-21.712501525878906,-32.34375,-24.243751525878906
1766408800518453200,1.731453369140625,-21.48750114440918,-32.212501525878906,-24.543750762939453
1766408800637980400,1.85098046875,-22.200000762939453,-32.212501525878906,-24.600000381469727
1766408800718002400,1.93100244140625,-23.64375114440918,-32.04375076293945,-22.98750114440918
1766408800797875000,2.010875,-25.80000114440918,-31.80000114440918,-19.98750114440918
1766408800857876500,2.07087646484375,-27.58125114440918,-30.95625114440918,-17.868751525878906
1766408800877882000,2.090882080078125,-28.14375114440918,-30.900001525878906,-17.34375
1766408800917888800,2.130888671875,-28.743751525878906,-30.056251525878906,-16.743751525878906
1766408800937895000,2.15089501953125,-28.500001907348633,-29.756250381469727,-16.6875
1766408800957907000,2.170906982421875,-28.61250114440918,-29.700000762939453,-16.743751525878906
1766408800977895400,2.1908955078125,-28.387500762939453,-29.812501907348633,-16.743751525878906
1766408800997892400,2.210892333984375,-28.087501525878906,-30.243751525878906,-16.98750114440918
1766408801017897700,2.230897705078125,-27.58125114440918,-30.656251907348633,-17.100000381469727
1766408801037897700,2.250897705078125,-27.187501907348633,-30.58125114440918,-17.26875114440918
1766408801057895400,2.2708955078125,-26.512500762939453,-30.900001525878906,-17.64375114440918
1766408801077899000,2.29089892578125,-26.08125114440918,-31.256250381469727,-18
1766408801097900500,2.310900634765625,-26.043750762939453,-31.42500114440918,-18.356250762939453
1766408801117896200,2.330896240234375,-26.043750762939453,-31.42500114440918,-18.356250762939453
1766408801137898500,2.3508984375,-25.42500114440918,-31.556251525878906,-18.900001525878906
1766408801157897500,2.3708974609375,-25.14375114440918,-31.743751525878906,-19.42500114440918
1766408801177903000,2.390903076171875,-25.012500762939453,-31.42500114440918,-19.6875
1766408801217900500,2.430900634765625,-24.787500381469727,-32.34375,-20.587501525878906
1766408801237905700,2.45090576171875,-24.412500381469727,-32.70000076293945,-20.587501525878906
1766408801257905000,2.47090478515625,-23.92500114440918,-33.11250305175781,-20.756250381469727
1766408801277900300,2.490900390625,-23.700000762939453,-33.58125305175781,-20.92500114440918
1766408801297903400,2.5109033203125,-23.512500762939453,-33.65625,-21
1766408801317902000,2.530902099609375,-23.212501525878906,-34.3125,-21.30000114440918
1766408801337897000,2.55089697265625,-22.98750114440918,-34.42500305175781,-21.48750114440918
1766408801357900000,2.570900146484375,-22.743751525878906,-34.72500228881836,-21.356250762939453
1766408801377898800,2.590898681640625,-22.087501525878906,-35.04375076293945,-21.48750114440918
