time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1766408800093000000,1.306,24.200000762939453,2.9000000953674316,75.9000015258789,4.599999904632568,4.135278224945068,155,43.9,120.68761,36.36052
1766408800593000000,1.806,21.200000762939453,2.4000000953674316,47.599998474121094,4.550000190734863,4.075677394866943,152.29681396484375,41.7,120.6876281,36.3604992
1766408801223000000,2.436,27.200000762939453,2.0999999046325684,46.70000076293945,4.5,3.1070492267608643,136.66783142089844,39.9,120.6876193,36.3604957
1766408801723000000,2.936,35.20000076293945,2.5999999046325684,46.599998474121094,4.324999809265137,2.869014263153076,133.57688903808594,39,120.6876152,36.3604927
1766408802223000000,3.436,49.70000076293945,2.799999952316284,44.400001525878906,4.239999771118164,2.2064740657806396,128.8876190185547,38,120.6875965,36.3605049
1766408803223000000,4.436,68.5999984741211,2,43.70000076293945,3.933000087738037,1.2175896167755127,146.8432159423828,37.6,120.6875894,36.3605131
1766408804723000000,5.936,42.400001525878906,2.0999999046325684,36.79999923706055,3.927999973297119,1.7842304706573486,146.9047393798828,37.4,120.6875852,36.3605088
1766408805723000000,6.936,52.900001525878906,2,36.900001525878906,3.7160000801086426,1.4984800815582275,146.09619140625,37.5,120.6875909,36.3605008
1766408806205435000,7.418434814453125,45,1.5,36.900001525878906,4.214000225067139,1.4722774028778076,146.00856018066406,37.5,120.6875914,36.3604999
1766408806625835500,7.83883544921875,45,0.38791921734809875,36.900001525878906,4.638000011444092,0.9980578422546387,120.23494720458984,37.5,120.6875918,36.3604999
1766408806754315800,7.967315673828125,45,0.41086843609809875,36.70000076293945,4.995999813079834,0.9959768056869507,121.53849029541016,37.6,120.6875913,36.3605005
1766408807723000000,8.936,45,0.2272348701953888,36.599998474121094,5.098999977111816,0.9491677284240723,214.95445251464844,37.6,120.6875886,36.3604983
1766408808305686000,9.51868603515625,45,0.24994350969791412,36.599998474121094,5.317999839782715,0.9427913427352905,352.9572448730469,37.6,120.6875863,36.3604963
1766408808809848300,10.022848388671875,45,0.2736213505268097,35.5,5.189000129699707,0.9356572031974792,353.06732177734375,37.4,120.6875866,36.3604978
1766408809110032400,10.323032470703126,45,0.2002064287662506,35.5,4.992000102996826,0.7883633971214294,258.9493408203125,37.4,120.6875803,36.3604999
1766408809790068000,11.00306787109375,45,0.24284185469150543,35.5,5.004000186920166,0.8003244996070862,262.51422119140625,37.4,120.6875763,36.3604993
1766408809810109400,11.023109375,45,0.2788463830947876,29.100000381469727,4.916999816894531,0.8028886318206787,262.5949401855469,36.8,120.6875763,36.3604993
1766408810527347700,11.74034765625,45,0.23980064690113068,29.100000381469727,4.835000038146973,0.7556081414222717,303.0606689453125,36.8,120.6875524,36.3605139
1766408811290984000,12.50398388671875,45,0.2139270305633545,29.100000381469727,4.664999961853027,0.6485637426376343,302.2738037109375,36.8,120.6875455,36.3605186
1766408811711000000,12.924,45,0.17347276210784912,26.299999237060547,4.228000164031982,0.7349367141723633,261.2406005859375,36,120.687519,36.3605184
1766408811968726300,13.181726318359376,45,0.21907399594783783,26.299999237060547,3.7780001163482666,0.7427694797515869,260.1341552734375,36,120.6875111,36.3605178
1766408812711000000,13.924,45,0.19721636176109314,24.399999618530273,3.7070000171661377,0.7020934820175171,256.21783447265625,35.3,120.6874997,36.3605161
1766408812847719400,14.060719482421876,45,0.23575304448604584,24.399999618530273,3.6689999103546143,0.7047397494316101,255.69549560546875,35.3,120.6874978,36.3605158
1766408813567857400,14.780857421875,45,0.23463289439678192,24.399999618530273,3.5840001106262207,0.6811515688896179,248.68051147460938,35.3,120.6874917,36.3605142
1766408813711153700,14.924153564453125,45,0.23463289439678192,23.600000381469727,3.5360000133514404,0.6810428500175476,246.52732849121094,34.5,120.6874905,36.3605138
1766408814388306400,15.601306396484375,45,0.23608092963695526,23.600000381469727,3.428999900817871,0.5912719368934631,240.6006622314453,34.5,120.6874839,36.3605115
1766408814711421000,15.9244208984375,45,0.23608092963695526,21.700000762939453,3.3940000534057617,0.5910172462463379,237.25331115722656,34,120.6874815,36.3605104
1766408815048542700,16.261542724609374,45,0.20953573286533356,21.700000762939453,3.2339999675750732,0.6824003458023071,236.32925415039062,34,120.6874771,36.360508
1766408815528249900,16.741249755859375,45,0.25080886483192444,21.700000762939453,3.1429998874664307,0.6796732544898987,239.01136779785156,34,120.687473,36.3605059
1766408815711687400,16.9246875,45,0.25080886483192444,21.200000762939453,3.13100004196167,0.6796391606330872,239.6023406982422,33.1,120.6874716,36.3605051
1766408816711000000,17.924,45,0.1977977454662323,21.299999237060547,3,1.052779197692871,234.88436889648438,32.3,120.6874568,36.3604931
1766408817106208300,18.319208251953125,45,0.1833145171403885,21.299999237060547,3,0.9973373413085938,234.85609436035156,32.3,120.6874521,36.3604899
1766408817569752800,18.7827529296875,45,0.23145151138305664,21.299999237060547,3,0.991969883441925,284.5745849609375,32.3,120.6874503,36.3604891
1766408817822243000,19.0352431640625,45,0.26631930470466614,21.100000381469727,3.0169999599456787,1.003940463066101,287.331787109375,31.6,120.6874502,36.3604895
1766408817969697500,19.182697509765624,45,0.422336220741272,21.100000381469727,3.2760000228881836,1.8686492443084717,164.1434783935547,31.6,120.6874507,36.3604732
1766408818649213200,19.862213134765625,45,0.3590344786643982,21.100000381469727,3.5260000228881836,1.580074667930603,153.52090454101562,31.6,120.6874583,36.3604543
1766408818822503700,20.035503662109374,45,0.38447636365890503,21,3.7230000495910645,1.5742642879486084,151.482421875,31.1,120.6874599,36.3604515
