time,seconds_elapsed,z,y,x
1766408917984099800,119.19709985351562,3.424950122833252,2.4499502182006836,7.555050373077393
1766408917994101500,119.2071015625,4.5259504318237305,3.813000202178955,5.221050262451172
1766408918004103200,119.21710327148438,5.953050136566162,5.493000030517578,3.2290501594543457
1766408918019105300,119.23210522460937,9.37695026397705,10.222050666809082,1.2610501050949097
1766408918029107200,119.24210717773437,11.967000961303711,15.144001007080078,1.9000500440597534
1766408918039108600,119.25210864257812,13.951951026916504,21.997051239013672,3.2479500770568848
1766408918049110300,119.2621103515625,14.268000602722168,27.83100128173828,1.059000015258789
1766408918059111700,119.27211157226563,14.508000373840332,30.484050750732422,-5.683950424194336
1766408918069113300,119.28211328125,16.28205108642578,31.831951141357422,-11.538000106811523
1766408918079114800,119.29211474609374,19.60500144958496,32.98800277709961,-13.518000602722168
1766408918094117000,119.3071171875,17.779951095581055,28.8559513092041,-15.736950874328613
1766408918104118800,119.31711889648437,13.051950454711914,26.06205177307129,-15.802050590515137
1766408918114120200,119.3271201171875,8.605950355529785,24.457950592041016,-15.88800048828125
1766408918124121900,119.33712182617188,5.9599504470825195,22.285951614379883,-16.21605110168457
1766408918134123500,119.34712353515626,4.4730000495910645,18.858001708984375,-15.487950325012207
1766408918144125000,119.357125,4.414050102233887,13.947000503540039,-13.594050407409668
1766408918154126600,119.36712670898437,5.071950435638428,8.827950477600098,-11.373000144958496
1766408918164128000,119.3771279296875,4.966950416564941,4.509000301361084,-8.710050582885742
1766408918174129700,119.38712963867188,4.102050304412842,1.0380001068115234,-6.28695011138916
1766408918184131000,119.39713110351562,2.7970502376556396,-1.26705002784729,-4.576050281524658
1766408918194133000,119.40713305664063,0.7980000376701355,-2.8399500846862793,-3.718050241470337
1766408918204134400,119.41713452148437,-1.3270500898361206,-3.9790501594543457,-3.2629501819610596
1766408918214136000,119.42713598632812,-3.022050142288208,-4.62600040435791,-2.980950117111206
1766408918224137500,119.43713745117188,-4.348050117492676,-5.188950061798096,-3.169950246810913
1766408918234139100,119.44713916015625,-5.623950481414795,-5.758050441741943,-3.328050136566162
1766408918244140800,119.45714086914063,-6.604050159454346,-6.345000267028809,-3.627000093460083
1766408918259143200,119.47214306640625,-7.6210503578186035,-6.505050182342529,-3.6660001277923584
1766408918274145300,119.48714526367188,-9.960000038146973,-6.285000324249268,-3.4770002365112305
1766408918284147200,119.49714721679688,-11.394001007080078,-6.052950382232666,-2.7370500564575195
1766408918294148400,119.5071484375,-12.586950302124023,-5.493000030517578,-1.3480501174926758
1766408918304150300,119.517150390625,-13.896000862121582,-5.08305025100708,0.043950002640485764
1766408918314151700,119.52715161132812,-14.266950607299805,-5.050050258636475,0.778950035572052
1766408918329154000,119.54215405273438,-12.478950500488281,-4.618950366973877,-0.9000000357627869
1766408918339155500,119.55215551757813,-10.396050453186035,-4.317000389099121,-3.109950065612793
1766408918354157800,119.56715771484374,-5.863950252532959,-2.703000068664551,-5.931000232696533
1766408918364159500,119.57715942382812,-2.6509501934051514,-0.4069500267505646,-7.297950267791748
1766408918374161200,119.5871611328125,-0.8050500154495239,2.9629502296447754,-7.827000141143799
1766408918384162600,119.59716259765625,-1.141950011253357,7.071000099182129,-9.30405044555664
1766408918394164200,119.60716430664063,-2.634000062942505,11.341950416564941,-13.458000183105469
