time,seconds_elapsed,z,y,x
1766408798997363200,0.21036328125,-0.2858625054359436,-0.3768875002861023,0.3623124957084656
1766408799012366800,0.225366943359375,-0.3338499963283539,-0.025299999862909317,0.15661250054836273
1766408799022369500,0.23536962890625,-0.3455374836921692,0.14836250245571136,0.056512501090765
1766408799032372000,0.2453720703125,-0.3338499963283539,0.37097498774528503,-0.07562500238418579
1766408799042374400,0.25537451171875,-0.2806375026702881,0.3922874927520752,-0.1097249984741211
1766408799052376800,0.265376953125,-0.20913749933242798,0.2516250014305115,-0.09363749623298645
1766408799062379300,0.275379150390625,-0.1368124932050705,0.16005000472068787,-0.03726249933242798
1766408799072382000,0.2853818359375,-0.07919999957084656,0.17806249856948853,0.05967500060796738
1766408799082384100,0.295384033203125,-0.06971249729394913,0.20363749563694,0.14066250622272491
1766408799092386800,0.30538671875,-0.07067500054836273,0.21326249837875366,0.16843749582767487
1766408799102389200,0.31538916015625,-0.045099999755620956,0.27293750643730164,0.16307500004768372
1766408799112392000,0.325391845703125,-0.023787500336766243,0.3517250120639801,0.12787500023841858
1766408799122394400,0.335394287109375,0.03684999793767929,0.6254875063896179,-0.0085249999538064
1766408799132396800,0.345396728515625,0.2147749960422516,1.2369500398635864,-0.2769249975681305
1766408799142399200,0.355399169921875,0.4129124879837036,2.1903750896453857,-0.3759250044822693
1766408799152401700,0.365401611328125,0.4950000047683716,1.6076500415802002,-0.5581125020980835
1766408799162404400,0.375404296875,0.4927999973297119,1.271049976348877,-0.5495874881744385
1766408799172406800,0.38540673828125,0.4470124840736389,1.0080125331878662,-0.4345000088214874
1766408799182409200,0.3954091796875,0.34581249952316284,0.7129374742507935,-0.2609750032424927
1766408799202414000,0.4154140625,0.22439999878406525,0.2718375027179718,0.1821874976158142
1766408799222419200,0.435419189453125,0.17531250417232513,0.08442500233650208,0.4857875108718872
1766408799232421600,0.445421630859375,0.17215000092983246,0.04496249929070473,0.49114999175071716
1766408799242424000,0.455424072265625,0.19978749752044678,0.048124998807907104,0.41126251220703125
1766408799252426500,0.465426513671875,0.24034999310970306,0.13021250069141388,0.2620750069618225
1766408799262429000,0.475428955078125,0.24351249635219574,0.2857249975204468,0.0681999996304512
1766408799272431600,0.485431640625,0.2147749960422516,0.4008125066757202,-0.11178749799728394
1766408799282434300,0.495434326171875,0.20198750495910645,0.42102500796318054,-0.23746250569820404
1766408799292436700,0.505436767578125,0.19978749752044678,0.42528748512268066,-0.304562509059906
1766408799302439200,0.515439208984375,0.2083124965429306,0.43697500228881836,-0.30566251277923584
1766408799312441600,0.525441650390625,0.2563000023365021,0.4497624933719635,-0.2630375027656555
1766408799322444000,0.535444091796875,0.31913748383522034,0.4987125098705292,-0.24392500519752502
1766408799332446500,0.545446533203125,0.37564998865127563,0.5467000007629395,-0.27582499384880066
1766408799342449000,0.555448974609375,0.36918750405311584,0.754462480545044,-0.06916250288486481
1766408799352451600,0.56545166015625,0.3489750027656555,0.6830999851226807,0.21848750114440918
1766408799362454000,0.5754541015625,0.40012499690055847,0.255887508392334,0.3973749876022339
1766408799372456400,0.58545654296875,0.47891250252723694,0.05238749831914902,0.46873748302459717
1766408799382459100,0.595459228515625,0.5141124725341797,0.17489999532699585,0.35694998502731323
1766408799402464000,0.615464111328125,0.45980000495910645,0.9120374917984009,-0.24818749725818634
1766408799412466700,0.625466796875,0.4342249929904938,1.3338874578475952,-0.6166874766349792
1766408799422468900,0.63546875,0.4288625121116638,1.6663625240325928,-0.9799624681472778
1766408799432471600,0.645471435546875,0.4171749949455261,1.8910374641418457,-1.307075023651123
1766408799442474000,0.655473876953125,0.39806249737739563,1.7483124732971191,-1.4125374555587769
1766408799452476400,0.665476318359375,0.39586248993873596,1.1347874402999878,-1.215362548828125
1766408799462478800,0.675478759765625,0.4501749873161316,0.5285499691963196,-0.7050999999046326
1766408799472481300,0.685481201171875,0.5663625001907349,0.18768750131130219,-0.1214125007390976
1766408799482484000,0.69548388671875,0.6738874912261963,0.05128749832510948,0.3590124845504761
1766408799492486700,0.705486572265625,0.7548750042915344,0.09075000137090683,0.5923500061035156
1766408799502489000,0.715489013671875,0.8305000066757202,0.18342499434947968,0.544362485408783
1766408799512491500,0.725491455078125,0.8581374883651733,0.24736249446868896,0.3302749991416931
1766408799522494000,0.735493896484375,0.8188124895095825,0.28036248683929443,0.0906125009059906
1766408799532496400,0.745496337890625,0.7654625177383423,0.2569875121116638,-0.1331000030040741
1766408799542498800,0.755498779296875,0.7420874834060669,0.19304999709129333,-0.30566251277923584
1766408799552501500,0.76550146484375,0.7484124898910522,0.12168750166893005,-0.3983374834060669
1766408799562504000,0.77550390625,0.7526749968528748,0.031075000762939453,-0.4324375092983246
1766408799572506400,0.78550634765625,0.7804499864578247,-0.04235000163316727,-0.4218499958515167
1766408799582508800,0.7955087890625,0.8262374997138977,-0.10944999754428864,-0.38128748536109924
1766408799592511200,0.80551123046875,0.8666625022888184,-0.16376249492168427,-0.30882498621940613
1766408799602513700,0.815513671875,0.8816499710083008,-0.21821250021457672,-0.1106875017285347
1766408799612516000,0.82551611328125,0.9018625020980835,-0.12223749607801437,0.227012500166893
1766408799622518800,0.835518798828125,1.01048743724823,-0.21175000071525574,0.544362485408783
1766408799632521200,0.845521240234375,1.1735625267028809,-0.35667499899864197,0.6659125089645386
1766408799642524000,0.85552392578125,1.3322374820709229,-0.39393749833106995,0.5817624926567078
1766408799652526300,0.8655263671875,1.3950749635696411,-0.30662500858306885,0.3718000054359436
