time,seconds_elapsed,magneticBearing
1766409227097903900,428.31090380859376,28.114281463726467
1766409227117908000,428.33090795898437,30.77646967265004
1766409227137907500,428.35090747070313,32.877881937243544
1766409227157903000,428.3709030761719,34.8965710396057
1766409227177906400,428.3909064941406,37.76652240713977
1766409227217907700,428.4309077148437,43.373035855510814
1766409227237905000,428.45090478515624,46.626964144489186
1766409227277904100,428.4909040527344,51.1155023604513
1766409227297905700,428.51090576171873,53.06862663884322
1766409227317903000,428.53090307617185,51.95682124746788
1766409227337903000,428.5509030761719,48.87692509440875
1766409227357906700,428.5709067382812,40.70521647134018
1766409227377904400,428.590904296875,30.933866840080803
1766409227397902300,428.61090234375,15.649168419257876
1766409227417897700,428.6308977050781,0.9366322841582344
1766409227437894700,428.6508947753906,350.8583597764751
1766409227457895200,428.67089526367187,346.67269573683683
1766409227477891600,428.6908916015625,344.219247230063
1766409227497895200,428.7108952636719,344.4236003870738
1766409227517889500,428.7308896484375,343.0787082762978
1766409227537893400,428.75089331054687,342.7725126256117
1766409227557891600,428.7708916015625,340.54473415786947
1766409227577897200,428.79089721679685,338.6742228588543
1766409227597897200,428.8108972167969,332.953229739772
1766409227617905700,428.8309057617187,330.34089097625645
1766409227637907000,428.85090698242186,325.04202253688675
1766409227657905000,428.87090478515626,319.95260024239
1766409227677898000,428.89089794921875,318.6697708745254
1766409227697899300,428.9108991699219,319.6026329091214
1766409227717903400,428.9309033203125,323.1956383902007
1766409227737896000,428.9508959960938,329.5965737339085
1766409227757896700,428.97089672851564,339.52975576726766
1766409227777893600,428.9908935546875,349.3121476428135
1766409227797898500,429.0108984375,359.7779244501568
1766409227817899800,429.0308996582031,8.751222058569597
1766409227837895200,429.05089526367186,15.077599698001869
1766409227857901000,429.0709011230469,19.159701528396425
1766409227877905700,429.0909057617188,23.54419369765519
1766409227897899500,429.1108994140625,27.056070382379307
1766409227917901800,429.1309018554688,30.264939818726614
1766409227937899000,429.15089892578123,32.893168084000145
1766409227957895400,429.1708955078125,36.29504226345377
1766409227977899800,429.19089965820314,39.23112877856792
1766409227997896400,429.210896484375,41.31876471549034
1766409228017901300,429.2309013671875,43.73969796526057
1766409228037901000,429.2509011230469,44.42642147112461
1766409228057897700,429.27089770507814,43.25158757715891
1766409228077901600,429.29090161132814,40.78090555951634
1766409228097899500,429.3108994140625,37.597199596123566
1766409228117906700,429.33090673828127,30.273984470087207
1766409228137908200,429.350908203125,23.244268268931755
1766409228157904400,429.370904296875,16.32154468727258
1766409228177908700,429.39090869140625,12.294033382701016
1766409228197907200,429.4109072265625,9.317086623389816
1766409228217902300,429.43090234375,5.514347261423227
1766409228237905000,429.45090478515624,2.7487153414715357
1766409228257903900,429.47090380859373,359.53918596029445
1766409228277898500,429.4908984375,354.705553745932
1766409228297902300,429.51090234375,349.3444741732992
1766409228317900800,429.53090087890627,341.9617519344235
1766409228337895700,429.55089575195314,329.83993978709776
1766409228357899000,429.57089892578125,319.9910283631132
1766409228377897000,429.59089697265625,312.9161301525626
1766409228397897500,429.6108974609375,309.6079541399655
1766409228417894400,429.63089428710936,310.071628719786
1766409228437893000,429.65089306640624,314.2441628820731
1766409228457888800,429.670888671875,322.3719799589879
1766409228477892000,429.69089208984377,333.145580641687
1766409228497891800,429.71089184570315,348.0635786652851
1766409228517898500,429.7308984375,1.2248875628379243
1766409228537899300,429.75089916992187,12.13054150893273
1766409228557898200,429.77089819335936,19.896132922615617
1766409228577903000,429.7909030761719,27.09098763764323
1766409228597901300,429.8109013671875,33.278578421230876
1766409228617908200,429.830908203125,37.775684874914845
1766409228637909500,429.8509094238281,41.280750549084715
1766409228657905400,429.87090551757814,42.380451772519095
1766409228677910000,429.89090991210935,44.283841913568295
1766409228697908700,429.91090869140623,45
1766409228717903600,429.9309035644531,45.80240938891648
1766409228737906700,429.9509067382813,44.70617757997907
1766409228757905400,429.9709055175781,38.40482269544833
1766409228777899800,429.99089965820315,27.531976273263954
1766409228797902600,430.0109025878906,15.708638883934855
1766409228817901600,430.03090161132815,7.2369222141430365
1766409228837896200,430.05089624023435,1.8758287032660645
1766409228857899800,430.07089965820313,0.3069387519056196
1766409228877898200,430.09089819335935,358.30746012529244
1766409228897892000,430.11089208984373,357.0563955329446
1766409228917897200,430.1308972167969,356.7099712789401
1766409228937896000,430.15089599609377,357.61405590315553
1766409228957896400,430.170896484375,357.74027980637516
1766409228977893600,430.1908935546875,357.38689431812116
1766409228997892400,430.21089233398436,357.2464132116834
1766409229017898500,430.2308984375,356.36613593299336
1766409229037900500,430.2509006347656,356.3029503987754
1766409229057897000,430.27089697265626,355.89694566470104
1766409229077902000,430.29090209960935,356.0347034701784
1766409229097901000,430.31090112304685,356.2864920082107
1766409229117896200,430.3308962402344,357.4760014784432
1766409229137899300,430.3508991699219,359.77906621246706
1766409229157897500,430.3708974609375,2.0196691807713467
1766409229177903900,430.39090380859375,4.000674827260515
1766409229197904000,430.41090380859373,6.2586056939247445
1766409229237904100,430.45090405273436,9.706652817836202
1766409229257903000,430.47090307617185,11.829714972809636
1766409229277898000,430.4908979492188,13.70271099779455
1766409229297902000,430.5109020996094,15.145706363717128
1766409229317900800,430.53090087890627,16.727963920567294
1766409229337896700,430.5508967285156,18.011399617403075
1766409229357899800,430.57089965820313,19.260706795969003
1766409229377898000,430.59089794921874,19.489850916386185
1766409229397892600,430.610892578125,19.417554295486934
1766409229417897000,430.6308969726563,17.923807361457268
1766409229437895200,430.6508952636719,16.498640509160328
1766409229457889800,430.67088989257815,14.322720645093543
1766409229477893000,430.69089306640626,9.343381269349047
1766409229497891800,430.71089184570315,2.112866715326391
1766409229517898000,430.73089794921873,352.84689031674833
1766409229537899000,430.75089892578126,348.04967909967456
1766409229557896400,430.770896484375,343.02553440876915
1766409229577902000,430.79090209960935,340.3829705781554
1766409229597901300,430.8109013671875,338.2287132483928
1766409229617897000,430.83089697265626,335.9273134066053
1766409229637900300,430.850900390625,336.1612596703117
1766409229657899300,430.87089916992187,335.73026297544135
1766409229677893600,430.8908935546875,335.73026297544135
1766409229697896700,430.91089672851564,334.1227037528304
1766409229717895700,430.93089575195313,332.7683959893187
1766409229737901800,430.95090185546877,330.16094007862796
1766409229757902800,430.97090283203124,327.98698822604314
1766409229777898500,430.9908984375,326.97613180399816
1766409229797902600,431.0109025878906,325.5480659922659
1766409229837898000,431.0508979492187,326.8948028561132
1766409229877900000,431.0909001464844,332.18799091256346
1766409229917907500,431.1309074707031,342.43122803357437
1766409229937903900,431.15090380859374,347.17195686708465
1766409229957896200,431.17089624023436,350.75729432615253
1766409229977898500,431.1908984375,354.858696710652
1766409229997895700,431.2108957519531,359.0377582893531
1766409230017901000,431.23090112304686,5.02489516011565
1766409230037901300,431.2509013671875,10.187224795071842
1766409230057898000,431.27089794921875,16.684094097840887
1766409230077902000,431.29090209960935,21.455805721085405
1766409230097900500,431.31090063476563,25.999650663268373
1766409230137899500,431.3508994140625,30.653699985470215
1766409230157898200,431.3708981933594,29.266998399256746
1766409230177893400,431.39089331054686,26.23827216808066
1766409230197896700,431.41089672851564,19.486129061630344
1766409230217896000,431.43089599609374,9.337058673063543
1766409230237902000,431.4509020996094,359.06336771584176
1766409230257902800,431.47090283203124,348.9145356024667
1766409230277899300,431.4908991699219,343.2403542020127
1766409230297903400,431.5109033203125,339.35300957702714
1766409230317902000,431.53090209960936,338.5852208551957
1766409230337897700,431.5508977050781,339.94915899226015
1766409230357901000,431.5709011230469,342.33579924281094
1766409230377900000,431.5909001464844,343.4468808648035
1766409230397894700,431.61089477539065,345.2489367535371
1766409230417898200,431.63089819335937,347.09409393324546
1766409230437896400,431.650896484375,349.7631201076727
1766409230457902800,431.67090283203123,352.5788840842926
